CustomerID,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_score,RFM_sum,segment
12747,2,9,930.85,4,4,4,444,12,Champions
12748,1,132,6566.99,4,4,4,444,12,Champions
12749,4,4,813.45,4,3,4,434,11,Champions
12820,3,4,268.02000000000004,4,3,3,433,10,Champions
12822,71,2,146.15,2,2,3,223,7,At Risk
12823,297,1,306.0,1,1,3,113,5,At Risk
12824,60,1,106.38,2,1,2,212,5,At Risk
12826,3,6,272.66,4,4,3,443,11,Champions
12827,33,2,44.550000000000004,3,2,1,321,6,Other
12828,8,5,195.4,4,4,3,443,11,Champions
12829,337,1,79.9,1,1,2,112,4,At Risk
12830,91,4,1727.92,2,3,4,234,9,Other
12832,32,2,67.39999999999999,3,2,2,322,7,Other
12833,145,1,87.0,1,1,2,112,4,At Risk
12834,283,1,161.0,1,1,3,113,5,At Risk
12836,59,4,585.53,2,3,4,234,9,Other
12837,173,1,10.55,1,1,1,111,3,At Risk
12838,34,1,62.11,3,1,2,312,6,Other
12839,3,12,875.98,4,4,4,444,12,Champions
12840,144,4,459.65999999999997,1,3,4,134,8,Other
12841,5,20,630.95,4,4,4,444,12,Champions
12842,70,2,224.54,2,2,3,223,7,At Risk
12843,160,7,385.55,1,4,4,144,9,Other
12844,29,2,38.05,3,2,1,321,6,Other
12845,269,3,221.1,1,3,3,133,7,Other
12847,22,1,123.21,3,1,2,312,6,Other
12849,31,2,266.75,3,2,3,323,8,Potential
12851,97,1,29.57,2,1,1,211,4,At Risk
12852,295,1,32.550000000000004,1,1,1,111,3,At Risk
12853,135,4,234.48000000000002,2,3,3,233,8,Other
12854,79,3,319.01,2,3,3,233,8,Other
12856,8,6,402.48,4,4,4,444,12,Champions
12857,211,2,283.85,1,2,3,123,6,At Risk
12863,52,1,34.8,2,1,1,211,4,At Risk
12864,138,1,17.4,1,1,1,111,3,At Risk
12867,26,6,699.15,3,4,4,344,11,Champions
12868,186,5,177.31,1,4,3,143,8,Other
12871,84,2,70.74,2,2,2,222,6,At Risk
12872,327,1,73.4,1,1,2,112,4,At Risk
12873,282,1,102.0,1,1,2,112,4,At Risk
12877,4,9,222.63,4,4,3,443,11,Champions
12878,236,2,174.3,1,2,3,123,6,At Risk
12879,92,1,70.80000000000001,2,1,2,212,5,At Risk
12883,25,4,186.18,3,3,3,333,9,Potential
12884,88,1,31.8,2,1,1,211,4,At Risk
12885,63,2,361.48,2,2,4,224,8,At Risk
12886,68,2,212.39,2,2,3,223,7,At Risk
12890,24,1,53.87,3,1,1,311,5,Other
12893,31,1,20.4,3,1,1,311,5,Other
12895,42,2,107.65,3,2,2,322,7,Other
12901,10,14,3647.06,4,4,4,444,12,Champions
12902,265,1,42.03,1,1,1,111,3,At Risk
12904,18,2,64.55,4,2,2,422,8,Other
12906,12,4,494.87,4,3,4,434,11,Champions
12909,88,4,624.21,2,3,4,234,9,Other
12910,64,4,481.26,2,3,4,234,9,Other
12912,8,2,162.36,4,2,3,423,9,Potential
12913,5,4,617.78,4,3,4,434,11,Champions
12915,149,1,35.9,1,1,1,111,3,At Risk
12916,139,4,699.38,1,3,4,134,8,Other
12919,8,4,133.73999999999998,4,3,2,432,9,Loyal
12920,17,1,23.4,4,1,1,411,6,Other
12921,9,31,2393.04,4,4,4,444,12,Champions
12922,161,1,57.239999999999995,1,1,1,111,3,At Risk
12923,64,1,59.5,2,1,2,212,5,At Risk
12924,88,3,220.83,2,3,3,233,8,Other
12925,5,2,183.16,4,2,3,423,9,Potential
12928,35,4,333.8,3,3,4,334,10,Champions
12929,312,1,42.900000000000006,1,1,1,111,3,At Risk
12930,78,2,97.51000000000002,2,2,2,222,6,At Risk
12931,22,8,8313.64,3,4,4,344,11,Champions
12933,24,3,113.87,3,3,2,332,8,Other
12935,2,6,406.1,4,4,4,444,12,Champions
12936,17,2,236.79000000000002,4,2,3,423,9,Potential
12937,15,4,393.43,4,3,4,434,11,Champions
12939,64,6,1680.68,2,4,4,244,10,Champions
12940,55,2,207.07,2,2,3,223,7,At Risk
12942,131,2,80.92,2,2,2,222,6,At Risk
12944,36,1,119.5,3,1,2,312,6,Other
12945,288,1,129.1,1,1,2,112,4,At Risk
12947,144,4,215.87,1,3,3,133,7,Other
12948,44,6,372.78000000000003,3,4,4,344,11,Champions
12949,31,7,748.02,3,4,4,344,11,Champions
12950,2,3,471.6,4,3,4,434,11,Champions
12951,9,4,157.3,4,3,3,433,10,Champions
12952,6,4,291.27,4,3,3,433,10,Champions
12953,10,1,76.3,4,1,2,412,7,Other
12955,1,10,875.52,4,4,4,444,12,Champions
12956,306,1,7.9,1,1,1,111,3,At Risk
12957,10,8,814.7,4,4,4,444,12,Champions
12962,7,2,40.45,4,2,1,421,7,Other
